seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender
1,8,Closed,9,7/28/2011 10:12,23,7/28/2011 10:12,23,B00468,Registered,'97217,1976,1
2,9,Closed,220,7/28/2011 10:21,23,7/28/2011 10:25,23,B00554,Registered,'02215,1966,1
3,10,Closed,56,7/28/2011 10:33,23,7/28/2011 10:34,23,B00456,Registered,'02108,1943,1
4,11,Closed,64,7/28/2011 10:35,23,7/28/2011 10:36,23,B00554,Registered,'02116,1981,2
5,12,Closed,12,7/28/2011 10:37,23,7/28/2011 10:37,23,B00554,Registered,'97214,1983,2
6,13,Closed,19,7/28/2011 10:39,23,7/28/2011 10:39,23,B00456,Registered,'02021,1951,1
7,14,Closed,24,7/28/2011 10:47,23,7/28/2011 10:47,23,B00554,Registered,'02140,1971,2
8,15,Closed,7,7/28/2011 10:48,23,7/28/2011 10:48,23,B00554,Registered,'02140,1971,2
9,16,Closed,8,7/28/2011 11:01,23,7/28/2011 11:01,23,B00554,Registered,'97214,1983,2
10,17,Closed,1108,7/28/2011 11:55,47,7/28/2011 12:13,40,B00550,Registered,'01867,1994,1
11,18,Closed,1055,7/28/2011 11:55,47,7/28/2011 12:13,40,B00580,Registered,'01867,1956,1
12,19,Closed,1042,7/28/2011 11:55,47,7/28/2011 12:12,40,B00539,Registered,'01867,1959,2
13,23,Closed,994,7/28/2011 12:00,40,7/28/2011 12:16,47,B00368,Casual,,,
14,25,Closed,15,7/28/2011 12:00,22,7/28/2011 12:00,22,B00442,Registered,'02446,1982,1
15,27,Closed,952,7/28/2011 12:00,40,7/28/2011 12:16,23,B00556,Registered,'02128,1944,1
16,28,Closed,32,7/28/2011 12:00,22,7/28/2011 12:01,22,B00316,Registered,'02115,1960,2
17,29,Closed,1261,7/28/2011 12:00,22,7/28/2011 12:21,45,B00454,Registered,'02492,1975,1
18,30,Closed,7,7/28/2011 12:00,22,7/28/2011 12:00,22,B00404,Registered,'02446,1956,1
19,31,Closed,1020,7/28/2011 12:01,38,7/28/2011 12:18,36,B00147,Registered,'02118,1987,2
20,33,Closed,1264,7/28/2011 12:01,38,7/28/2011 12:22,44,B00165,Registered,'02139,1985,2
21,34,Closed,1043,7/28/2011 12:01,38,7/28/2011 12:18,44,B00527,Registered,'02351,1978,1
22,35,Closed,969,7/28/2011 12:01,22,7/28/2011 12:17,44,B00487,Registered,'02143,1971,1
23,37,Closed,1582,7/28/2011 12:01,38,7/28/2011 12:27,10,B00093,Registered,'02130,1980,2
24,38,Closed,620,7/28/2011 12:01,22,7/28/2011 12:12,20,B00375,Registered,'02474,1955,2
25,40,Closed,7,7/28/2011 12:02,22,7/28/2011 12:02,22,B00275,Registered,'02140,1971,2
26,41,Closed,771,7/28/2011 12:02,38,7/28/2011 12:15,42,B00279,Registered,'02108,1943,1
27,42,Closed,1222,7/28/2011 12:02,38,7/28/2011 12:22,44,B00074,Registered,'02143,1972,2
28,43,Closed,4,7/28/2011 12:02,22,7/28/2011 12:02,22,B00137,Registered,'01776,1949,1
29,44,Closed,5,7/28/2011 12:02,22,7/28/2011 12:02,22,B00082,Registered,'01880,1968,1
30,45,Closed,824,7/28/2011 12:02,22,7/28/2011 12:16,38,B00460,Registered,'02131,1967,1
31,47,Closed,873,7/28/2011 12:02,38,7/28/2011 12:17,47,B00025,Registered,'02115,1975,2
32,48,Closed,1377,7/28/2011 12:03,22,7/28/2011 12:26,25,B00404,Registered,'02446,1982,1
33,51,Closed,1114,7/28/2011 12:03,22,7/28/2011 12:22,48,B00392,Registered,'02144,1958,1
34,52,Closed,16,7/28/2011 12:03,22,7/28/2011 12:04,22,B00198,Registered,'02116,1976,1
35,53,Closed,1655,7/28/2011 12:04,22,7/28/2011 12:32,36,B00316,Registered,'02115,1960,2
36,54,Closed,1953,7/28/2011 12:05,22,7/28/2011 12:37,31,B00069,Registered,'02021,1951,1
37,55,Closed,1989,7/28/2011 12:05,22,7/28/2011 12:38,31,B00298,Registered,'02151,1987,2
38,56,Closed,1015,7/28/2011 12:06,22,7/28/2011 12:23,36,B00543,Registered,'02116,1981,2
39,57,Closed,863,7/28/2011 12:08,22,7/28/2011 12:23,42,B00189,Registered,'02127,1968,1
40,58,Closed,6,7/28/2011 12:09,16,7/28/2011 12:09,16,B00533,Registered,'02445,1958,1
41,59,Closed,460,7/28/2011 12:10,22,7/28/2011 12:18,49,B00353,Registered,'01880,1968,1
42,60,Closed,724,7/28/2011 12:11,22,7/28/2011 12:23,40,B00442,Registered,'02113,1973,2
43,62,Closed,1624,7/28/2011 12:14,40,7/28/2011 12:41,20,B00550,Registered,'01867,1994,1
44,63,Closed,191,7/28/2011 12:14,22,7/28/2011 12:18,22,B00275,Registered,'01876,1963,2
45,64,Closed,1390,7/28/2011 12:14,36,7/28/2011 12:38,23,B00111,Registered,'02114,1975,1
46,65,Closed,1587,7/28/2011 12:15,40,7/28/2011 12:41,20,B00539,Registered,'01867,1956,1
47,66,Closed,1578,7/28/2011 12:15,40,7/28/2011 12:41,20,B00580,Registered,'01867,1994,2
48,67,Closed,2585,7/28/2011 12:15,38,7/28/2011 12:58,38,B00101,Registered,'02492,1968,1
49,68,Closed,899,7/28/2011 12:16,22,7/28/2011 12:31,49,B00082,Registered,'01776,1949,1
50,70,Closed,960,7/28/2011 12:19,45,7/28/2011 12:35,36,B00426,Registered,'01742,1962,1
51,71,Closed,782,7/28/2011 12:20,22,7/28/2011 12:33,20,B00359,Registered,'01945,1943,1
52,72,Closed,326,7/28/2011 12:20,36,7/28/2011 12:25,46,B00147,Registered,'02118,1987,2
53,73,Closed,376,7/28/2011 12:23,45,7/28/2011 12:29,10,B00454,Registered,'02492,1975,1
54,76,Closed,1556,7/28/2011 12:24,45,7/28/2011 12:50,16,B00131,Registered,'02143,1981,1
55,77,Closed,1681,7/28/2011 12:25,5,7/28/2011 12:53,23,B00231,Registered,'02140,1967,1
56,79,Closed,2121,7/28/2011 12:27,40,7/28/2011 13:02,40,B00358,Casual,,,
57,80,Closed,2702,7/28/2011 12:25,22,7/28/2011 13:10,14,B00058,Registered,'01876,1963,2
58,81,Closed,714,7/28/2011 12:26,36,7/28/2011 12:38,39,B00170,Registered,'02116,1983,1
